id,name,balls_bowled,balls_faced,fielded
734,JE Taylor,122,4,0
735,KMDN Kulasekara,107,3,3
736,TR Birt,0,59,0
737,M Klinger,0,78,0
738,P Parameswaran,159,3,0
739,AC Blizzard,0,91,4
740,I Malhotra,6,4,0
741,CJ Ferguson,0,119,2
742,AA Kazi,13,0,0
743,Anand Rajan,162,0,4
744,P Prasanth,6,0,0
745,Y Gnaneswara Rao,6,18,2
746,AA Chavan,255,11,3
747,S Rana,16,82,3
748,KH Devdhar,0,0,1
749,SS Mundhe,7,0,0
750,RW Price,18,0,0
751,RE Levi,0,74,2
752,M de Lange,116,2,0
753,KK Cooper,600,70,14
754,DAJ Bracewell,25,9,2
755,DJ Harris,18,103,5
756,TP Sudhindra,74,0,0
757,GB Hogg,466,22,5
758,RR Bhatkal,12,2,1
759,P Awana,774,14,5
760,V Pratap Singh,211,1,0
761,CJ McKay,42,15,0
762,T Mishra,0,0,1
763,A Ashish Reddy,270,196,10
764,N Saini,0,143,14
765,Azhar Mahmood,552,311,7
766,A Chandila,234,7,2
767,LJ Wright,75,63,4
768,RJ Peterson,48,32,1
769,R Shukla,130,23,6
770,BB Samantray,0,116,4
771,MJ Clarke,66,96,1
772,BW Hilfenhaus,390,0,1
773,AP Majumdar,0,77,0
774,PA Reddy,0,167,3
775,K Upadhyay,56,9,1
776,Sunny Gupta,19,1,0
777,MC Juneja,0,134,0
778,MDKJ Perera,0,13,0
779,BMAJ Mendis,30,27,3
780,Harmeet Singh,25,0,0
781,R Rampaul,278,52,4
782,SMSM Senanayake,195,17,2
783,BJ Rohrer,7,146,5
784,IC Pandey,469,2,6
785,CM Gautam,0,158,7
786,X Thalaivan Sargunam,0,17,0
787,DJG Sammy,244,251,9
788,P Suyal,107,0,1
789,UA Birla,0,15,1
790,PV Tambe,674,39,1
791,Parvez Rasool,200,20,3
792,MG Neser,25,0,0
793,NJ Maddinson,0,21,1
794,AV Wankhade,0,0,1
795,BR Dunk,0,36,4
